,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",4486,59.143045484508896
8,"intensification, mature, decay",580,7.646671061305208
4,"incipient, decay, intensification, mature, decay 2",480,6.328279499011207
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",335,4.4166117336849045
0,decay,296,3.902439024390244
2,"decay, intensification, mature, decay 2",292,3.849703361898484
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",282,3.717864205669084
7,intensification,221,2.913645352669743
1,"decay, intensification",113,1.4897824653922216
3,"incipient, decay",103,1.3579433091628217
