,Type of System,Total Count,Percentage
6,"incipient, intensification, mature, decay",258,56.57894736842105
9,"intensification, mature, decay",33,7.2368421052631575
7,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",32,7.017543859649122
4,"incipient, decay, intensification, mature, decay 2",30,6.578947368421052
0,decay,15,3.289473684210526
2,"decay, intensification, mature, decay 2",13,2.850877192982456
8,intensification,13,2.850877192982456
10,"intensification, mature, decay, intensification 2, mature 2, decay 2",13,2.850877192982456
1,"decay, intensification",9,1.973684210526316
3,"incipient, decay",8,1.7543859649122806
5,"incipient, intensification, decay, intensification 2, mature, decay 2",7,1.5350877192982455
