,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5206,61.153529895454014
8,"intensification, mature, decay",604,7.0950311288617405
4,"incipient, decay, intensification, mature, decay 2",457,5.368260307764595
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",348,4.087865617291202
2,"decay, intensification, mature, decay 2",339,3.98214495477505
0,decay,316,3.711969928344884
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",276,3.2421003171619875
7,intensification,263,3.089392693527546
1,"decay, intensification",149,1.7502643016562902
3,"incipient, decay",112,1.3156349113121109
