Type of System,Total Count,Percentage
"incipient, intensification, mature, decay",4823,53.26927324939253
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",360,3.9761431411530817
"intensification, mature, decay",492,5.4340622929092115
"decay, intensification, mature, decay 2, residual",43,0.4749282085266181
decay,347,3.8325601943892202
"incipient, intensification, mature, decay, residual",733,8.095869229070024
"decay, intensification, mature, decay 2",359,3.9650982990943233
intensification,269,2.9710625138060527
"intensification, mature, decay, intensification 2, mature 2, decay 2",312,3.445990722332671
"decay, intensification",164,1.811354097636404
"incipient, decay",97,1.0713496796995803
"decay, intensification, decay 2, intensification 2",13,0.14358294676386127
"incipient, decay, intensification, mature, decay 2, residual",50,0.552242102937928
"intensification, mature, decay, residual",190,2.0985199911641264
"incipient, decay, intensification, mature, decay 2",480,5.301524188204108
"intensification, residual",53,0.5853766291142036
"decay, intensification, residual",27,0.2982107355864811
"incipient, decay, intensification, residual",9,0.09940357852882703
"incipient, intensification, decay, intensification 2",24,0.26507620941020543
"incipient, decay, intensification, decay 2",23,0.2540313673514469
"decay, intensification, decay 2",25,0.276121051468964
"incipient, intensification",7,0.07731389441130991
"intensification, decay",9,0.09940357852882703
"incipient, decay, intensification",23,0.2540313673514469
"incipient, intensification, decay, intensification 2, mature, decay 2",49,0.5411972608791694
"decay, intensification, mature, decay 2, intensification 2, mature 2",5,0.055224210293792805
"decay, residual",16,0.17671747294013695
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2, residual",4,0.04417936823503424
"intensification, incipient, decay",5,0.055224210293792805
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",4,0.04417936823503424
"incipient, decay, residual",6,0.06626905235255136
"incipient, intensification, decay, intensification 2, decay 2",12,0.13253810470510272
"decay, intensification, decay 2, residual",2,0.02208968411751712
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",11,0.12149326264634416
"incipient, intensification, residual",1,0.01104484205875856
"incipient, intensification, incipient 2, decay, intensification 2, mature, decay 2",1,0.01104484205875856
"incipient, decay, intensification, decay 2, residual",2,0.02208968411751712
"incipient, intensification, decay, intensification 2, residual",2,0.02208968411751712
"decay, intensification, residual, intensification 2",2,0.02208968411751712
