,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
0,19800179,decay,21.0,14.381696333643006,1087.2562428234112,2.13518,-2.0110514285714287,413.1424890892772,MAM,LA-PLATA
1,19800179,incipient,22.0,14.214665964259831,1125.8015443693785,1.948094347826087,-0.6195490909090909,973.803153083774,MAM,LA-PLATA
2,19800179,intensification,18.0,15.346223257538599,994.4352670885011,1.7232727777777779,0.9720800000000005,591.8023835371953,MAM,LA-PLATA
3,19800179,mature,16.0,11.297640500077936,650.7440928044891,2.409214375,1.2237299999999998,611.1113158365681,MAM,LA-PLATA
4,19800181,decay,21.0,13.283549225166295,1004.236321422572,2.2476942857142856,-1.9370285714285713,927.630015827837,MAM,SAt
5,19800181,incipient,0.0,,0.0,2.47867,,0.0,MAM,SAt
6,19800181,intensification,9.0,7.88331740792262,255.41948401669288,2.8214088888888886,1.2385333333333328,207.33577192561899,MAM,SAt
7,19800181,mature,5.0,9.855873531674865,177.4057235701476,2.939722,0.14443199999999976,131.94557077408894,MAM,SAt
8,19800182,decay,13.0,14.550954836317013,680.9846863396363,3.51182,0.5596061538461535,680.7689897343965,MAM,SAt
9,19800182,incipient,4.0,13.131080076441709,189.08755310076057,3.989535,0.9350399999999972,140.80450266643248,MAM,SAt
10,19800182,intensification,5.0,17.25621313320739,310.611836397733,3.87403,0.027600000000001745,919.1170036325618,MAM,SAt
11,19800182,mature,11.0,13.666316176149538,541.1861205755218,3.86558,0.5972509090909093,468.02509482182865,MAM,SAt
12,19800183,incipient,14.0,17.002296499490374,856.9157435743149,6.733512857142857,4.149445714285713,1185.0748640436343,MAM,SE-SAO
13,19800183,intensification,34.0,17.387365096657952,2128.2134878309334,6.743375294117647,-0.4383035294117643,2389.011908416439,MAM,SE-SAO
14,19800183,mature,6.0,26.7621558177089,578.0625656625123,3.415497142857143,5.096039999999999,573.3775132954687,MAM,SE-SAO
15,19800184,incipient,13.0,8.951641836054769,418.9368379273631,3.6212657142857148,2.9812430769230764,825.405147874321,MAM,ARG
16,19800184,intensification,48.0,10.662521560394,1842.4837256360831,4.409625624999999,0.4136249999999999,1646.4505247898844,MAM,ARG
17,19800184,mature,2.0,18.923177060403958,136.2468748349085,3.836605,-2.731919999999997,82.71131353277154,MAM,ARG
18,19800185,decay,16.0,6.631395071445917,381.96835611528485,5.0795275,0.3682650000000005,725.6196941091785,MAM,AT-PEN
19,19800185,decay 2,1.0,16.286894269884893,58.63281937158562,4.8796,-0.073680000000003,0.0,MAM,AT-PEN
20,19800185,incipient,12.0,7.760726934155894,335.2634035555346,2.4385246153846154,0.8266200000000001,879.3889096683477,MAM,AT-PEN
21,19800185,intensification,50.0,6.632625286570325,1193.8725515826586,4.1055436,1.6127183999999999,605.086291454178,MAM,AT-PEN
22,19800185,intensification 2,7.0,6.89144809094058,173.66449189170265,5.064134285714286,-0.39260571428571467,109.7681667745546,MAM,AT-PEN
23,19800185,mature,15.0,3.0846257966140844,166.56979301716055,5.276589333333334,-0.2880160000000004,422.5824158023889,MAM,AT-PEN
24,19800185,mature 2,3.0,9.400663204926891,101.52716261321044,4.916776666666666,-1.1428799999999981,68.00873599139786,MAM,AT-PEN
25,19800187,decay,16.0,13.468638025207786,775.7935502519686,4.29456125,-2.2323749999999998,1742.3075518419837,MAM,SE-SAO
26,19800187,incipient,3.0,18.244484296782954,197.0404304052559,5.153146666666667,-1.4593599999999967,133.7432255103563,MAM,SE-SAO
27,19800187,intensification,20.0,19.255365841426126,1386.386340582681,4.24382,2.084543999999999,2344.602564789991,MAM,SE-SAO
28,19800187,intensification 2,7.0,9.568267773308207,241.12034788736685,2.390295714285714,-6.515314285714287,182.69986975619236,MAM,SE-SAO
29,19800187,mature,15.0,18.674903167607788,1008.4447710508206,4.816960666666668,1.3338880000000004,1836.064795582427,MAM,SE-SAO
30,19800188,decay,16.0,7.09583067158067,408.71984668304657,6.245456875,-1.967070000000001,729.2556542684708,MAM,SAt
31,19800188,decay 2,7.0,9.004029816290458,226.90155137051954,5.586117142857143,2.4978514285714306,165.64233423816358,MAM,SAt
