track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20031188,decay,1118.199186743111,32.0,9.706590162700618,Total,Total
20031188,incipient,1758.8276741473355,25.0,19.542529712748173,Total,Total
20031188,intensification,2326.6941958968123,64.0,10.098499114135471,Total,Total
20031188,mature,674.2725094646462,21.0,8.918948537892145,Total,Total
20031192,decay,2868.764391763012,56.0,14.229982101999068,Total,Total
20031192,incipient,4041.055227966335,25.0,44.90061364407039,Total,Total
20031192,intensification,7070.024421574078,64.0,30.68586988530416,Total,Total
20031192,mature,2318.213669611882,21.0,30.664201978993148,Total,Total
20031192,residual,798.654076645609,20.0,11.092417731189014,Total,Total
20031196,incipient,459.3185640956442,17.0,7.505205295680461,Total,Total
20031196,intensification,200.78305956121628,7.0,7.967581728619693,Total,Total
20031197,incipient,302.7946058914029,3.0,28.036537582537303,Total,Total
20031199,incipient,560.6796475671482,17.0,9.161432149790002,Total,Total
20031199,intensification,127.21131231677244,3.0,11.778825214515969,Total,Total
20031201,incipient,201.7566648306146,10.0,5.604351800850406,Total,Total
20031201,intensification,57.63384411345032,2.0,8.004700571312545,Total,Total
20031202,incipient,553.6510635929208,5.0,30.758392421828933,Total,Total
20040001,decay,7005.457157649568,57.0,34.139654764374114,Total,Total
20040001,incipient,2059.5632257774846,26.0,22.00388061728082,Total,Total
20040001,intensification,6291.755443511816,74.0,23.617700613783096,Total,Total
20040001,mature,2006.8213451997265,27.0,20.646310135799656,Total,Total
20040001,residual,2124.306561914681,45.0,13.113003468609142,Total,Total
20040002,incipient,936.921696743155,16.0,16.266001679568664,Total,Total
20040002,intensification,1937.203264817114,24.0,22.42133408353141,Total,Total
20040002,mature,639.7824218318397,6.0,29.619556566288875,Total,Total
20040003,decay,773.3500834943828,41.0,5.23949921066655,Total,Total
20040003,incipient,772.4895952053538,22.0,9.753656505118103,Total,Total
20040003,intensification,1810.2299891828864,64.0,7.85690099471739,Total,Total
20040003,mature,449.12923544060607,21.0,5.940862902653519,Total,Total
20040004,incipient,1057.411762533801,19.0,15.459236294353817,Total,Total
20040004,intensification,3852.552789666952,64.0,16.721149260707254,Total,Total
20040004,mature,597.8442007587752,10.0,16.606783354410425,Total,Total
20040005,incipient,443.4869445371945,14.0,8.799344137642748,Total,Total
20040005,intensification,1066.2081550687171,35.0,8.461969484672359,Total,Total
20040005,mature,213.4976131080097,7.0,8.4721275042861,Total,Total
20040006,decay,5670.425552381756,43.0,36.63065602313796,Total,Total
20040006,incipient,682.0920844941056,8.0,23.68375293382311,Total,Total
20040006,intensification,3962.847790325863,47.0,23.421086231240327,Total,Total
20040006,mature,2011.1611319702024,21.0,26.602660475796327,Total,Total
20040007,incipient,505.2040549958494,8.0,17.54180746513366,Total,Total
20040007,intensification,2189.101235424521,46.0,13.219210358843725,Total,Total
20040007,mature,772.5117114627441,14.0,15.327613322673496,Total,Total
20040008,decay,1985.0055953786452,56.0,9.846257913584552,Total,Total
20040008,incipient,157.77914099526274,7.0,6.261077023621538,Total,Total
20040008,intensification,1828.171690827114,40.0,12.695636741854958,Total,Total
20040008,mature,604.261792366309,14.0,11.989321277109308,Total,Total
20040008,residual,2922.1223853456136,45.0,18.037792502133417,Total,Total
20040009,decay,5678.975911926247,56.0,28.16952337265004,Total,Total
20040009,intensification,1686.4092764246427,15.0,31.229801415271165,Total,Total
20040009,mature,1836.724569759339,14.0,36.4429478126853,Total,Total
20040009,residual,2150.053124361439,32.0,18.66365559341527,Total,Total
20040010,decay,50.70108139754476,1.0,14.083633721540211,Total,Total
20040010,intensification,925.1891897925552,11.0,23.36336337859988,Total,Total
20040010,mature,1061.0845404436811,14.0,21.05326469134288,Total,Total
20040011,decay,982.6562379563096,32.0,8.530002065592967,Total,Total
20040011,intensification,672.3789751750309,8.0,23.34649219357746,Total,Total
20040011,mature,866.5635889153522,14.0,17.193722002288734,Total,Total
20040012,decay,5529.23772182698,56.0,27.426774413824308,Total,Total
20040012,intensification,250.503379792698,5.0,13.916854432927668,Total,Total
20040012,mature,849.5621193588,9.0,26.22105306662963,Total,Total
20040012,residual,2988.5192154529905,45.0,18.44764947810488,Total,Total
20040013,decay,5977.771291659434,78.0,21.288359300781455,Total,Total
20040013,incipient,24.104146160343088,1.0,6.6955961556508585,Total,Total
20040013,intensification,5771.153264701016,89.0,18.01233852902939,Total,Total
20040013,mature,567.5038032771488,9.0,17.515549483862618,Total,Total
20040013,residual,5183.733670790051,45.0,31.998355992531184,Total,Total
20040014,decay,7869.776201356606,113.0,19.345565883374157,Total,Total
20040014,incipient,108.79382906393154,1.0,30.22050807331432,Total,Total
20040014,intensification,6390.467085281356,116.0,15.302842637168,Total,Total
20040014,mature,2129.0866172215265,33.0,17.921604522066723,Total,Total
20040014,residual,3311.604384091566,45.0,20.44200237093559,Total,Total
20040015,decay,1585.3716194056406,31.0,14.20583888356309,Total,Total
20040015,residual,537.2131241147728,13.0,11.478912908435316,Total,Total
20040016,decay,1376.2629705534769,27.0,14.159084059192148,Total,Total
20040016,incipient,11.595426878975136,1.0,3.220951910826426,Total,Total
20040016,intensification,486.74982036365833,15.0,9.01388556228997,Total,Total
20040016,mature,265.15549603299263,9.0,8.183811605956564,Total,Total
20040016,residual,1659.555210596961,45.0,10.244167966647908,Total,Total
20040017,decay,295.29216622339004,9.0,9.113955747635496,Total,Total
20040017,intensification,95.03742664294344,5.0,5.27985703571908,Total,Total
20040017,residual,881.8568148037143,45.0,5.443560585208114,Total,Total
20040018,decay,2945.17457483952,36.0,22.72511246018148,Total,Total
20040018,incipient,113.2992739176115,1.0,31.472020532669863,Total,Total
20040018,intensification,7242.903417859233,85.0,23.66961901261187,Total,Total
20040018,mature,1009.5534030109434,9.0,31.159055648485907,Total,Total
20040018,residual,4397.051981136165,45.0,27.14229617985287,Total,Total
20040019,decay,73.34456351869086,2.0,10.186744933151507,Total,Total
20040019,residual,845.1370252454999,32.0,7.33625889970052,Total,Total
20040020,decay,2693.1266947588583,27.0,27.707064760893605,Total,Total
20040020,incipient,103.56598940771812,1.0,28.76833039103281,Total,Total
20040020,intensification,4211.461051614515,34.0,34.407361532798326,Total,Total
20040020,mature,1177.8747352392795,9.0,36.3541584950395,Total,Total
20040020,residual,2146.9541900638906,28.0,21.299148710951297,Total,Total
20040021,decay,74.12860426753483,1.0,20.59127896320412,Total,Total
20040021,incipient,73.35025413632984,1.0,20.375070593424955,Total,Total
20040021,intensification,1123.1786836959443,12.0,25.999506567035755,Total,Total
20040021,mature,827.4406344289785,6.0,38.30743677911938,Total,Total
20040021,residual,2556.706975940865,24.0,29.59151592524149,Total,Total
20040022,decay,860.6402603921018,11.0,21.733339908891462,Total,Total
20040022,incipient,57.15564496986953,1.0,15.87656804718598,Total,Total
20040022,intensification,870.7757348902015,15.0,16.12547657204077,Total,Total
20040022,mature,572.6319045813491,9.0,17.67382421547374,Total,Total
20040022,residual,395.9991059310928,9.0,12.222194627502864,Total,Total
20040023,decay,2123.045266833512,27.0,21.842029494171936,Total,Total
20040023,incipient,159.75937572952978,1.0,44.37760436931383,Total,Total
20040023,intensification,2016.6015812727303,23.0,24.35509156126486,Total,Total
20040023,mature,788.2734900880857,5.0,43.79297167156032,Total,Total
20040024,decay,2377.664093938612,27.0,24.46156475245485,Total,Total
20040024,incipient,98.79437588537472,1.0,27.442882190381876,Total,Total
20040024,intensification,3162.0730137681644,38.0,23.11456881409477,Total,Total
20040024,mature,256.7775541179615,3.0,23.775699455366805,Total,Total
20040025,decay,1655.370311574299,26.0,17.68558025186217,Total,Total
20040025,incipient,0.0,0.0,,Total,Total
20040025,intensification,631.4738025146463,10.0,17.540938958740178,Total,Total
20040025,mature,42.60424702490365,3.0,3.944837687491079,Total,Total
20040026,decay,317.6278606552443,26.0,3.3934600497355163,Total,Total
20040026,intensification,1623.863590463587,65.0,6.939587993434131,Total,Total
20040026,mature,78.7400881750491,3.0,7.290748905097138,Total,Total
20040027,decay,446.8793575749203,26.0,4.774352110843166,Total,Total
20040027,intensification,6388.241029005792,106.0,16.74067355609484,Total,Total
20040027,mature,1033.4718486637262,12.0,23.92295945980848,Total,Total
20040028,decay,1193.5426954838929,26.0,12.751524524400564,Total,Total
20040028,intensification,1602.90578509841,16.0,27.82822543573629,Total,Total
20040028,mature,0.0,0.0,,Total,Total
20040029,decay,627.9603898944001,23.0,7.58406267988406,Total,Total
20040029,intensification,3539.878391911273,61.0,16.11966480833913,Total,Total
20040030,decay,4115.906403120885,22.0,51.96851519092027,Total,Total
20040030,intensification,5042.390563301668,32.0,43.7707514175492,Total,Total
20040031,decay,642.2895792107645,18.0,9.911876222388342,Total,Total
20040031,intensification,823.0462014613545,19.0,12.032839202651385,Total,Total
20040032,decay,1354.832586582115,13.0,28.94941424320759,Total,Total
20040032,intensification,6097.809452893465,93.0,18.213289883194346,Total,Total
20040033,decay,4713.796663963551,70.0,18.705542317315675,Total,Total
20040033,intensification,7361.659759710506,101.0,20.246588998103704,Total,Total
20040033,mature,3528.549642691529,24.0,40.83969493855937,Total,Total
20040034,decay,84.8671380117334,10.0,2.357420500325928,Total,Total
20040034,intensification,1164.4048011264322,85.0,3.8052444481255954,Total,Total
20040035,intensification,3940.858568920998,44.0,24.87915763207701,Total,Total
20040036,decay,1056.0467584878277,25.0,11.733852872086974,Total,Total
20040036,intensification,1130.2979289876043,74.0,4.242860093797313,Total,Total
20040036,mature,272.4405722539285,24.0,3.1532473640500984,Total,Total
20040037,decay,5202.212395450426,46.0,31.41432605948325,Total,Total
20040037,intensification,7401.743849314569,71.0,28.958309269618816,Total,Total
20040037,mature,1827.9594045819904,24.0,21.1569375530323,Total,Total
20040038,intensification,1535.0924384938933,32.0,13.32545519525949,Total,Total
20040039,intensification,1712.4595296461798,36.0,13.213422296652622,Total,Total
20040040,decay,635.8722050761556,10.0,17.663116807670992,Total,Total
20040040,intensification,3092.6022003363687,37.0,23.21773423675953,Total,Total
20040040,mature,1578.4300903403182,24.0,18.26886678634628,Total,Total
20040041,intensification,287.48586034160763,15.0,5.323812228548289,Total,Total
20040041,mature,529.7294726378312,20.0,7.357353786636546,Total,Total
20040042,decay,2459.025812818807,26.0,26.271643299346227,Total,Total
20040042,intensification,442.69620530888136,8.0,15.371396017669491,Total,Total
20040042,mature,2042.8819490286169,24.0,23.64446700264603,Total,Total
20040043,decay,2348.1990041397657,63.0,10.353611129364047,Total,Total
20040043,incipient,901.7310901759946,14.0,17.89148988444434,Total,Total
20040043,intensification,1889.64010118501,27.0,19.440741781738787,Total,Total
20040043,mature,2653.6664238541816,24.0,30.713731757571548,Total,Total
20040044,decay,2511.1491788510702,30.0,23.25138128565806,Total,Total
20040044,intensification,113.93000833386616,3.0,10.549074845728349,Total,Total
20040044,mature,1548.9334075521792,24.0,17.92746999481689,Total,Total
20040045,decay,6579.381274189032,63.0,29.00961761106275,Total,Total
20040045,incipient,1082.7383900669647,14.0,21.48290456482073,Total,Total
20040045,intensification,3151.664980566792,32.0,27.35820295630896,Total,Total
20040045,mature,2282.504167279349,27.0,23.48255316131018,Total,Total
20040046,decay,841.3981905584451,29.0,8.059369641364418,Total,Total
20040047,decay,5046.351374288134,52.0,26.957005204530635,Total,Total
20040048,decay,4278.3161452222,109.0,10.90294634358359,Total,Total
20040048,incipient,1724.2686904661782,14.0,34.21168036639242,Total,Total
20040048,intensification,4698.445776429186,32.0,40.7851195870589,Total,Total
20040048,intensification 2,1654.0300816108754,25.0,18.378112017898616,Total,Total
20040048,mature,1160.0398221346525,13.0,24.78717568663788,Total,Total
20040049,decay,5358.474131139033,99.0,15.035000367954636,Total,Total
20040049,decay 2,3263.9616166502874,41.0,22.11356108841658,Total,Total
20040049,incipient,714.8632989850591,16.0,12.410821162935056,Total,Total
20040049,intensification,1344.6755855452477,41.0,9.110268194751,Total,Total
20040049,intensification 2,5834.037371894628,66.0,24.55402934299086,Total,Total
20040049,mature,602.8798344956911,17.0,9.850977687838087,Total,Total
20040049,mature 2,1105.7393532433769,16.0,19.196863771586404,Total,Total
20040050,decay,589.2754678272966,26.0,6.295678075077955,Total,Total
20040050,incipient,515.8719325868308,11.0,13.02706900471795,Total,Total
20040051,decay,1985.7976605402612,76.0,7.258032385015576,Total,Total
20040051,incipient,204.0033647760176,14.0,4.047685809047969,Total,Total
20040051,intensification,659.93930352064,32.0,5.728639787505556,Total,Total
20040051,intensification 2,211.9742358906246,11.0,5.352884744712743,Total,Total
20040051,mature,248.02327088739824,13.0,5.299642540329023,Total,Total
20040052,decay,1250.3131207092774,16.0,21.70682501231385,Total,Total
20040052,incipient,2153.805160788232,14.0,42.734229380718894,Total,Total
20040052,intensification,3568.8581101263303,32.0,30.97967109484662,Total,Total
20040052,mature,380.3915516478679,6.0,17.61071998369759,Total,Total
20040053,decay,984.1732417278243,42.0,6.509082286559686,Total,Total
20040053,incipient,406.5358586817089,13.0,8.686663647045062,Total,Total
20040053,intensification,1281.105865275622,32.0,11.12071063607311,Total,Total
20040053,mature,305.91107394883204,13.0,6.5365614091630775,Total,Total
20040054,decay,5558.605566284235,55.0,28.07376548628401,Total,Total
20040054,incipient,526.4273402009469,8.0,18.278727090310657,Total,Total
20040054,intensification,2824.020496530065,32.0,24.514066810156816,Total,Total
20040054,intensification 2,1229.093231128811,13.0,26.262675878820755,Total,Total
20040054,mature,1806.381086986026,13.0,38.59788647406039,Total,Total
20040055,decay,3623.361234340448,55.0,18.299804213840645,Total,Total
20040055,decay 2,748.8582335345313,41.0,5.073565267849129,Total,Total
20040055,incipient,438.949387937634,10.0,12.193038553823166,Total,Total
20040055,intensification,820.572815227333,36.0,6.331580364408434,Total,Total
20040055,intensification 2,9099.181406059395,66.0,38.29621803897053,Total,Total
20040055,mature,290.8305905381301,13.0,6.214328857652353,Total,Total
20040055,mature 2,444.1897388680704,16.0,7.711627410904001,Total,Total
20040056,decay,49.11952791644399,4.0,3.4110783275308325,Total,Total
20040056,incipient,36.37072581440878,1.0,10.102979392891328,Total,Total
20040056,intensification,859.5237386846321,32.0,7.461143564970765,Total,Total
