Region,Season,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,6.2,6.6,26.1,20.5,8.3,6.3,32.1,27.7,27.1,19.8,7.4,5.1,23.9,19.9,16.1,16.9
ARG,DJF,6.8,6.9,30.6,20.9,9.7,6.4,38.1,31.2,29.4,19.7,8.2,5.4,27.2,21.6,16.2,17.5
LA-PLATA,DJF,9.1,7.4,37.8,25.4,11.8,7.8,42.7,37.0,33.4,19.4,9.1,5.6,33.2,23.1,24.1,23.8
SE-BR,DJF,7.7,8.4,30.2,25.1,9.2,6.7,32.9,25.9,27.3,20.3,8.9,7.2,24.5,24.8,16.4,20.4
SE-SAO,DJF,6.2,5.8,26.8,19.0,8.9,6.4,34.0,28.5,22.7,16.4,6.3,4.2,23.9,20.4,13.1,12.0
AT-PEN,DJF,5.0,5.4,22.5,17.8,7.4,5.2,31.3,23.9,31.5,24.3,7.8,5.3,22.7,15.9,16.0,13.9
WEDDELL,DJF,6.5,6.9,29.2,21.0,8.4,5.4,29.0,18.2,25.8,18.1,6.1,3.7,25.2,15.7,24.1,22.0
SA-NAM,DJF,6.6,6.3,24.0,20.3,6.4,5.3,21.9,20.4,17.4,17.0,5.7,4.9,18.5,17.8,18.4,17.2
Total,JJA,6.3,6.6,25.2,19.6,7.7,5.6,28.8,23.4,25.4,19.1,7.1,4.9,24.0,20.3,15.6,16.3
ARG,JJA,6.8,6.7,26.9,19.5,8.3,5.8,30.6,24.4,27.7,20.0,8.6,5.6,28.1,23.3,13.4,15.2
LA-PLATA,JJA,9.1,7.6,38.4,25.0,11.6,7.0,42.6,33.9,30.9,19.5,8.1,5.0,31.1,23.7,17.4,21.1
SE-BR,JJA,8.0,8.8,28.4,19.8,9.1,6.2,34.1,26.4,28.1,26.0,7.1,4.8,29.9,26.4,18.9,20.2
SE-SAO,JJA,6.3,5.8,25.0,17.7,7.7,5.3,28.4,23.2,23.6,17.4,6.7,4.5,23.3,21.2,14.2,15.5
AT-PEN,JJA,4.8,6.8,20.4,14.2,6.5,4.1,26.0,18.7,29.2,17.3,7.2,4.4,23.3,15.1,12.9,11.4
WEDDELL,JJA,6.8,7.9,27.5,23.8,7.4,5.2,24.8,17.1,31.6,24.9,7.7,4.6,22.7,12.9,28.1,23.4
SA-NAM,JJA,6.5,7.1,26.8,20.5,7.8,5.8,26.7,20.9,17.0,11.7,4.5,3.4,18.7,16.7,14.7,13.8
