Region,Season,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,19.1,11.6,19.0,10.1,18.6,10.9,18.8,9.9,18.9,11.1,19.3,12.0,19.0,10.9,19.1,11.1
ARG,DJF,18.8,11.5,19.0,10.3,18.8,11.0,18.9,10.1,19.0,11.0,19.0,11.2,18.9,10.5,19.6,11.9
LA-PLATA,DJF,19.3,11.8,19.3,10.9,18.7,11.1,19.0,10.5,18.4,10.8,18.8,12.3,18.9,11.2,18.9,11.0
SE-BR,DJF,19.0,11.7,18.9,10.6,18.6,11.2,18.7,10.3,18.7,10.8,18.5,11.2,18.4,10.6,18.4,10.4
SE-SAO,DJF,19.5,12.0,19.2,10.6,18.8,11.2,19.0,10.3,18.9,11.0,18.9,10.9,19.4,11.1,19.2,11.2
AT-PEN,DJF,19.5,13.0,19.0,10.8,18.7,12.2,19.2,11.0,20.9,12.2,19.7,12.4,19.9,11.5,18.1,11.2
WEDDELL,DJF,18.6,12.3,18.5,10.6,18.1,11.2,18.7,10.8,18.2,10.4,18.1,11.0,17.9,10.5,18.8,11.4
SA-NAM,DJF,19.2,12.1,19.0,11.1,18.9,12.5,19.2,11.1,18.3,10.7,17.5,11.1,18.6,11.1,18.8,11.3
Total,JJA,21.5,13.8,21.0,12.4,21.0,12.8,20.9,11.4,20.9,12.6,20.8,13.9,21.0,13.0,20.7,13.2
ARG,JJA,20.9,13.2,21.0,13.2,20.7,12.8,21.1,12.0,21.4,13.3,21.0,13.8,21.3,12.5,21.1,13.3
LA-PLATA,JJA,20.7,13.0,21.1,12.3,20.6,12.8,20.9,11.8,20.9,11.8,20.9,12.8,20.7,12.3,21.5,13.1
SE-BR,JJA,20.8,13.3,20.9,12.2,20.6,12.9,20.7,11.8,20.7,12.0,19.3,12.3,20.7,12.7,19.7,12.9
SE-SAO,JJA,21.3,13.3,21.1,12.1,20.8,13.0,21.1,12.0,21.3,13.3,20.4,13.3,20.9,12.7,21.0,14.1
AT-PEN,JJA,21.7,14.8,21.6,12.8,21.3,13.4,21.7,12.6,21.6,12.9,20.3,13.1,21.1,11.9,20.9,13.1
WEDDELL,JJA,21.2,14.4,20.9,12.2,20.2,12.6,20.9,12.3,19.4,11.8,19.3,12.5,20.6,12.5,21.0,13.4
SA-NAM,JJA,20.4,13.3,21.0,12.7,20.5,13.5,20.9,12.9,21.3,13.6,20.4,13.9,21.5,13.1,20.4,13.2
Total,,20.6,13.0,20.3,11.4,20.0,12.1,20.3,11.0,20.3,12.4,20.0,12.9,20.3,12.5,20.3,12.6
ARG,,20.0,12.5,20.2,11.7,20.1,12.2,20.3,11.4,20.3,12.3,20.0,12.8,20.4,12.1,20.5,12.6
LA-PLATA,,20.3,12.6,20.4,11.7,20.1,12.4,20.3,11.4,20.3,11.9,20.3,12.8,20.3,11.9,20.8,13.7
SE-BR,,20.2,12.9,20.2,11.6,19.9,12.5,20.1,11.6,19.9,11.9,19.5,12.1,19.9,11.9,19.9,12.1
SE-SAO,,20.8,13.1,20.6,11.6,20.2,12.3,20.4,11.4,20.4,12.5,20.1,12.7,20.4,12.7,20.5,13.0
AT-PEN,,20.9,14.0,20.6,12.1,20.3,12.8,20.6,11.9,21.2,12.5,20.3,13.3,20.8,12.2,20.7,12.5
WEDDELL,,20.7,14.0,20.2,11.7,19.7,12.3,20.3,11.9,19.5,11.7,19.1,12.3,19.9,11.8,20.6,12.9
SA-NAM,,20.3,13.0,20.4,12.3,19.9,13.0,20.4,12.2,19.9,12.5,19.4,13.0,20.0,12.3,20.3,12.7
