Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,55.9,49.4,7.3,8.5,22.3,21.2,8.1,7.7,25.8,25.5,12.2,13.2,5.7,5.3,14.7,16.1,9.1,10.0
ARG,DJF,47.2,43.0,6.4,6.9,22.2,20.9,8.0,7.2,22.8,22.1,13.5,12.4,5.9,5.1,14.6,15.6,9.5,10.1
LA-PLATA,DJF,40.3,38.1,7.0,6.9,20.5,19.4,8.3,7.9,21.0,21.1,14.7,14.7,5.7,5.5,15.6,18.7,11.0,13.5
SE-BR,DJF,38.7,37.3,6.8,8.0,18.3,18.8,7.0,6.6,19.8,19.9,14.5,15.8,5.8,6.1,14.6,16.7,9.3,11.9
SE-SAO,DJF,44.4,40.2,6.0,6.0,19.8,18.4,7.5,6.8,22.6,22.6,12.8,13.0,5.2,5.0,13.1,14.6,8.4,10.4
AT-PEN,DJF,33.8,31.8,4.2,4.6,14.9,14.4,5.8,5.4,18.7,18.0,13.3,12.0,4.3,3.6,12.3,11.0,9.4,9.8
WEDDELL,DJF,34.7,32.8,5.6,6.7,17.7,17.3,5.9,5.2,16.1,15.0,17.4,17.2,5.6,4.8,13.1,11.2,15.3,14.1
SA-NAM,DJF,31.5,29.0,5.1,6.2,14.6,15.3,5.1,5.3,14.7,15.9,10.4,10.5,3.8,3.2,10.6,10.4,8.2,9.3
Total,JJA,58.0,48.1,7.6,8.1,23.8,21.9,8.4,7.7,26.1,25.1,13.5,12.8,5.3,4.6,13.7,13.7,9.2,11.5
ARG,JJA,45.3,39.9,6.7,7.4,20.7,19.8,7.5,7.0,21.2,20.6,13.0,12.4,5.5,5.0,14.8,14.5,9.6,11.7
LA-PLATA,JJA,45.6,40.5,7.5,7.5,23.2,21.7,9.1,8.3,24.2,24.1,16.7,14.5,6.3,5.2,17.7,17.0,11.3,13.2
SE-BR,JJA,36.8,34.8,6.6,7.0,17.7,16.8,7.2,6.7,20.2,20.3,14.2,14.1,5.5,5.2,14.4,15.7,9.6,12.2
SE-SAO,JJA,48.5,41.6,6.7,6.8,21.7,19.9,7.6,6.8,22.7,22.3,12.6,12.5,5.1,4.5,12.8,13.2,8.3,9.2
AT-PEN,JJA,35.3,32.4,4.8,5.4,16.0,15.3,6.0,5.5,18.4,17.3,18.3,17.4,5.7,5.3,14.5,14.3,8.4,9.5
WEDDELL,JJA,39.5,36.3,6.0,6.9,20.2,20.1,6.8,6.3,17.7,16.4,14.2,14.3,4.5,4.0,12.7,12.0,14.8,17.0
SA-NAM,JJA,35.4,32.5,5.8,6.3,17.1,16.8,6.5,6.3,17.4,17.8,11.2,10.4,4.3,4.0,12.7,13.1,12.0,14.2
Total,,59.1,50.1,7.4,8.1,23.6,22.2,8.4,7.8,26.6,25.7,12.8,13.0,5.3,4.8,13.9,14.4,10.0,11.9
ARG,,47.1,42.2,6.5,7.2,21.7,20.7,7.8,7.2,22.3,21.9,14.1,13.7,5.8,5.6,14.5,15.3,10.3,11.9
LA-PLATA,,44.4,40.7,7.5,7.7,22.4,21.0,9.0,8.3,23.4,23.5,16.8,15.3,6.6,5.4,18.2,18.9,12.9,15.2
SE-BR,,38.4,36.3,6.5,7.2,18.4,18.1,7.2,7.0,20.3,20.6,14.7,14.7,5.8,5.5,14.7,15.8,10.3,12.7
SE-SAO,,47.3,41.4,6.7,6.9,21.2,19.6,7.6,6.9,22.7,22.3,12.9,12.3,5.2,4.6,13.2,13.7,8.5,9.9
AT-PEN,,35.8,33.3,4.8,5.4,16.0,15.7,6.0,5.6,18.7,18.0,15.5,15.6,5.2,4.9,13.4,12.5,10.2,12.0
WEDDELL,,38.8,35.7,5.7,6.5,19.2,19.1,6.5,5.9,17.8,16.7,15.4,14.7,5.1,4.5,13.8,12.9,14.1,16.1
SA-NAM,,35.8,33.0,5.7,6.6,16.7,17.0,6.0,6.0,17.0,17.4,12.2,13.3,4.4,4.3,12.0,12.4,10.8,12.7
