,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5818,60.743370223428684
8,"intensification, mature, decay",733,7.652954687826268
4,"incipient, decay, intensification, mature, decay 2",529,5.523073710586761
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",384,4.0091877218626015
2,"decay, intensification, mature, decay 2",382,3.988306535811234
0,decay,360,3.758613489246189
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",350,3.654207558989351
7,intensification,279,2.9129254541657965
1,"decay, intensification",171,1.78534140739194
3,"incipient, decay",101,1.05449989559407
