,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",21400,59.62663694622458
8,"intensification, mature, decay",2715,7.564781276121483
4,"incipient, decay, intensification, mature, decay 2",2178,6.068542769573697
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",1482,4.129283923098356
2,"decay, intensification, mature, decay 2",1470,4.095848425745333
0,decay,1344,3.7447757035385902
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",1309,3.647255502925606
7,intensification,1052,2.9311786012816943
1,"decay, intensification",588,1.6383393702981333
3,"incipient, decay",431,1.2008916132627472
