Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,3.6,1.7,3.9,2.0,3.8,1.8,4.0,2.0,3.7,1.8,4.1,2.1,4.2,2.1,3.9,2.0,4.0,2.1
ARG,DJF,3.6,1.7,4.0,2.0,3.8,1.8,4.1,2.1,3.8,1.8,4.0,1.9,4.0,2.0,3.9,1.8,4.0,2.1
LA-PLATA,DJF,3.6,1.7,3.9,2.1,3.9,1.9,4.2,2.2,3.9,1.9,3.9,2.0,4.2,2.2,3.9,1.9,3.9,1.9
SE-BR,DJF,3.7,1.7,4.0,2.0,3.9,1.9,4.1,2.1,3.9,1.9,3.9,2.0,4.1,2.1,4.0,2.1,3.9,1.9
SE-SAO,DJF,3.7,1.7,3.9,2.0,3.8,1.9,4.1,2.1,3.8,1.9,3.9,2.0,4.4,2.2,3.8,1.9,4.1,2.0
AT-PEN,DJF,3.6,1.8,4.0,2.1,3.8,1.9,4.1,2.1,3.8,1.9,3.7,2.0,4.0,1.8,3.9,1.9,4.0,2.1
WEDDELL,DJF,3.6,1.8,4.1,2.2,3.9,2.0,4.1,2.0,3.8,2.0,3.8,1.9,4.2,2.3,3.7,2.0,3.9,2.1
SA-NAM,DJF,3.7,1.8,4.1,2.2,3.8,2.0,3.9,2.1,3.9,2.0,4.0,2.2,4.4,2.2,3.9,2.1,3.9,2.0
Total,JJA,4.1,1.8,4.5,2.1,4.2,1.9,4.6,2.2,4.2,2.0,4.5,2.2,4.7,2.4,4.5,2.2,4.5,2.2
ARG,JJA,4.1,1.9,4.5,2.2,4.3,2.0,4.6,2.2,4.3,2.0,4.5,2.1,4.8,2.2,4.4,2.1,4.5,2.2
LA-PLATA,JJA,4.1,1.9,4.5,2.2,4.3,2.0,4.7,2.4,4.3,2.0,4.4,2.1,4.6,2.3,4.3,2.2,4.5,2.1
SE-BR,JJA,4.1,1.9,4.5,2.2,4.3,2.1,4.6,2.4,4.3,2.1,4.6,2.2,5.1,2.2,4.4,2.1,4.6,2.3
SE-SAO,JJA,4.1,1.9,4.5,2.1,4.3,2.0,4.6,2.3,4.3,2.0,4.5,2.1,4.8,2.4,4.5,2.2,4.5,2.4
AT-PEN,JJA,4.2,1.9,4.6,2.2,4.5,2.1,4.7,2.2,4.5,2.1,4.4,2.0,4.6,2.2,4.4,2.2,4.4,2.2
WEDDELL,JJA,4.1,1.9,4.5,2.2,4.3,2.0,4.5,2.2,4.4,2.1,4.4,2.2,4.6,2.3,4.4,2.2,4.4,2.2
SA-NAM,JJA,4.1,1.9,4.5,2.3,4.3,2.1,4.5,2.2,4.3,2.1,4.3,2.1,4.6,2.4,4.4,2.3,4.4,2.2
Total,,3.9,1.7,4.2,2.0,4.0,1.9,4.3,2.1,4.0,1.9,4.3,2.1,4.5,2.3,4.2,2.1,4.3,2.2
ARG,,3.9,1.8,4.2,2.1,4.1,1.9,4.4,2.2,4.1,1.9,4.2,2.0,4.4,2.2,4.1,2.0,4.2,2.1
LA-PLATA,,3.9,1.8,4.3,2.1,4.1,2.0,4.4,2.2,4.1,2.0,4.2,2.1,4.4,2.3,4.2,2.1,4.2,2.1
SE-BR,,3.9,1.8,4.3,2.1,4.1,2.0,4.4,2.2,4.1,2.0,4.2,2.1,4.5,2.2,4.1,2.0,4.2,2.1
SE-SAO,,3.9,1.8,4.2,2.0,4.1,1.9,4.4,2.2,4.1,1.9,4.3,2.1,4.7,2.4,4.2,2.1,4.3,2.2
AT-PEN,,3.9,1.8,4.3,2.2,4.1,2.0,4.4,2.2,4.1,2.0,4.3,2.1,4.6,2.2,4.3,2.2,4.3,2.2
WEDDELL,,3.9,1.8,4.3,2.2,4.1,2.0,4.4,2.1,4.1,2.1,4.1,2.1,4.4,2.2,4.2,2.2,4.2,2.1
SA-NAM,,3.9,1.9,4.3,2.2,4.1,2.1,4.3,2.2,4.1,2.0,4.2,2.2,4.5,2.3,4.2,2.2,4.2,2.1
