Type of System,Total Count,Percentage
"incipient, intensification, decay, intensification 2",5,0.12431626056688214
"incipient, decay, intensification, mature, decay 2",69,1.7155643958229736
"incipient, intensification, mature, decay",1074,26.703132769766285
"intensification, mature, decay",74,1.8398806563898558
decay,14,0.34808552958727
"incipient, intensification, mature, decay, residual",131,3.257086026852312
"incipient, intensification, residual",1,0.02486325211337643
"decay, intensification, mature, decay 2",37,0.9199403281949279
"intensification, mature, decay, intensification 2, mature 2, decay 2",65,1.6161113873694681
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",107,2.660367976131278
"decay, intensification",7,0.174042764793635
"intensification, mature, decay, residual",38,0.9448035803083044
"decay, intensification, decay 2",2,0.04972650422675286
intensification,51,1.268025857782198
"incipient, decay",5,0.12431626056688214
"intensification, residual",5,0.12431626056688214
"incipient, decay, intensification",6,0.14917951268025859
"decay, intensification, decay 2, intensification 2",2,0.04972650422675286
"decay, intensification, residual",1,0.02486325211337643
"incipient, decay, intensification, decay 2",2,0.04972650422675286
"incipient, intensification, decay, intensification 2, residual",3,0.07458975634012929
"intensification, incipient, decay",1,0.02486325211337643
"decay, intensification, mature, decay 2, residual",8,0.19890601690701143
"incipient, decay, intensification, mature, decay 2, residual",4,0.09945300845350571
"incipient, intensification, decay, intensification 2, mature, decay 2",8,0.19890601690701143
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",1,0.02486325211337643
"intensification, decay",1,0.02486325211337643
"incipient, intensification, decay, intensification 2, decay 2",2,0.04972650422675286
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",1,0.02486325211337643
"incipient, decay, intensification, residual",1,0.02486325211337643
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2, residual",1,0.02486325211337643
