Type of System,Total Count,Percentage
"incipient, intensification, mature, decay",6296,50.97975708502024
intensification,309,2.5020242914979756
"incipient, intensification, mature, decay, residual",996,8.064777327935223
"intensification, mature, decay, intensification 2, mature 2, decay 2",505,4.089068825910931
"decay, intensification, mature, decay 2",535,4.331983805668016
"intensification, mature, decay",624,5.052631578947368
decay,432,3.497975708502024
"incipient, decay, intensification, decay 2",23,0.18623481781376516
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",600,4.8582995951417
"incipient, decay, intensification, mature, decay 2",804,6.510121457489879
"incipient, intensification",11,0.08906882591093117
"decay, residual",23,0.18623481781376516
"incipient, decay, intensification",52,0.42105263157894735
"incipient, decay",147,1.1902834008097167
"decay, intensification, mature, decay 2, residual",80,0.6477732793522267
"decay, intensification",179,1.4493927125506072
"incipient, decay, intensification, mature, decay 2, residual",59,0.4777327935222672
"intensification, mature, decay, residual",265,2.145748987854251
"incipient, intensification, decay, intensification 2, mature, decay 2, residual",5,0.04048582995951417
"decay, intensification, residual",36,0.29149797570850206
"incipient, intensification, decay, intensification 2, mature, decay 2",71,0.5748987854251012
"incipient, intensification, decay, intensification 2, decay 2",11,0.08906882591093117
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2, residual",20,0.16194331983805668
"intensification, decay",11,0.08906882591093117
"decay, intensification, mature, decay 2, intensification 2, mature 2",15,0.12145748987854252
"decay, intensification, residual, intensification 2",4,0.032388663967611336
"intensification, residual",61,0.4939271255060729
"incipient, intensification, decay, intensification 2",38,0.3076923076923077
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",23,0.18623481781376516
"incipient, decay, intensification, residual",10,0.08097165991902834
"decay, intensification, decay 2",37,0.29959514170040485
"intensification, incipient, decay",12,0.09716599190283401
"decay, intensification, decay 2, intensification 2",14,0.11336032388663966
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",9,0.07287449392712551
"incipient, intensification, decay, intensification 2, residual",4,0.032388663967611336
"incipient, intensification, incipient 2, decay, intensification 2, mature, decay 2",2,0.016194331983805668
"incipient, decay, intensification, decay 2, intensification 2",5,0.04048582995951417
"incipient, decay, residual",10,0.08097165991902834
"decay, residual, intensification",1,0.008097165991902834
"incipient, decay, residual, intensification",1,0.008097165991902834
"incipient, intensification, decay, intensification 2, decay 2, residual",1,0.008097165991902834
"incipient, intensification, residual",2,0.016194331983805668
"decay, intensification, decay 2, residual",1,0.008097165991902834
"incipient, decay, incipient 2, intensification, mature, decay 2",1,0.008097165991902834
"incipient, decay, intensification, decay 2, residual",2,0.016194331983805668
"intensification, decay, residual",1,0.008097165991902834
"intensification, mature, decay, intensification 2, decay 2, mature 2",1,0.008097165991902834
"intensification, incipient, decay, residual",1,0.008097165991902834
