Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,0.0,0.3,0.0,0.7,0.1,0.5,0.0,0.6,-0.0,0.5,0.0,0.6,0.1,0.7,-0.0,0.6,-0.0,0.7
ARG,DJF,0.0,0.5,0.1,1.6,0.0,0.6,-0.0,0.6,-0.0,0.5,0.0,0.6,0.0,0.7,-0.0,0.7,-0.0,0.7
LA-PLATA,DJF,0.0,0.5,0.0,1.7,0.0,0.7,0.0,0.7,-0.0,0.6,0.0,0.7,0.1,0.8,-0.0,0.7,0.0,0.7
SE-BR,DJF,0.0,0.5,0.0,1.8,0.0,0.6,0.0,0.7,-0.0,0.6,-0.0,0.6,-0.0,0.7,0.0,0.6,-0.0,0.7
SE-SAO,DJF,-0.0,0.5,-0.0,1.5,0.0,0.6,0.0,0.6,-0.0,0.5,0.0,0.6,0.0,0.7,-0.0,0.7,0.0,0.7
AT-PEN,DJF,0.0,0.6,0.0,2.1,0.1,0.7,0.0,0.7,-0.0,0.6,0.1,0.6,0.0,0.7,0.0,0.6,0.0,0.7
WEDDELL,DJF,0.0,0.5,-0.0,1.6,0.0,0.7,0.0,0.7,-0.0,0.6,0.0,0.7,0.0,0.7,-0.0,0.6,-0.0,0.6
SA-NAM,DJF,0.0,0.6,0.0,1.6,0.0,0.7,0.0,0.7,-0.0,0.7,0.1,0.8,-0.0,0.7,-0.0,0.7,0.0,0.7
Total,JJA,-0.0,0.4,0.0,0.8,0.0,0.6,0.0,0.7,-0.0,0.6,0.0,0.7,-0.0,0.8,-0.0,0.7,0.0,0.8
ARG,JJA,-0.0,0.6,0.0,2.1,0.0,0.8,-0.0,0.7,-0.1,0.6,0.0,0.7,0.0,0.8,-0.1,0.7,0.0,0.8
LA-PLATA,JJA,-0.0,0.5,-0.0,1.6,0.0,0.7,-0.0,0.8,-0.0,0.7,0.0,0.7,-0.0,0.8,-0.1,0.7,-0.0,0.8
SE-BR,JJA,-0.0,0.6,-0.0,1.7,0.0,0.8,-0.0,0.8,-0.0,0.7,0.0,0.8,-0.0,0.8,-0.1,0.7,0.0,0.8
SE-SAO,JJA,-0.0,0.6,0.0,1.7,0.0,0.7,0.0,0.7,-0.1,0.6,0.0,0.8,0.0,0.8,-0.1,0.8,-0.0,0.8
AT-PEN,JJA,-0.0,0.7,-0.0,2.1,0.0,0.8,0.0,0.8,-0.0,0.7,0.0,0.8,-0.0,0.8,-0.0,0.8,0.0,0.8
WEDDELL,JJA,0.0,0.6,0.0,2.3,0.0,0.7,0.0,0.8,-0.0,0.7,-0.0,0.7,0.0,0.8,-0.0,0.8,0.0,0.7
SA-NAM,JJA,-0.0,0.7,-0.0,2.0,0.0,0.8,0.0,0.8,-0.0,0.7,0.0,0.8,0.0,0.8,-0.0,0.7,-0.0,0.7
Total,,-0.0,0.3,0.0,0.8,0.0,0.6,0.0,0.7,-0.0,0.5,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.7
ARG,,-0.0,0.6,0.0,1.9,0.0,0.7,-0.0,0.7,-0.1,0.6,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.7
LA-PLATA,,0.0,0.5,0.0,1.7,0.0,0.7,-0.0,0.7,-0.0,0.6,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.7
SE-BR,,0.0,0.6,0.0,1.8,0.0,0.7,-0.0,0.8,-0.0,0.7,-0.0,0.7,-0.0,0.8,-0.0,0.7,0.0,0.7
SE-SAO,,-0.0,0.5,0.0,1.6,0.1,0.7,0.0,0.7,-0.1,0.6,0.0,0.7,0.0,0.7,-0.0,0.7,0.0,0.8
AT-PEN,,0.0,0.6,0.0,2.3,0.0,0.8,0.0,0.7,-0.0,0.6,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.8
WEDDELL,,0.0,0.6,0.0,2.1,0.0,0.7,0.0,0.7,-0.0,0.7,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.7
SA-NAM,,0.0,0.6,0.0,1.9,0.0,0.7,0.0,0.8,-0.0,0.7,0.0,0.7,-0.0,0.8,-0.0,0.7,-0.0,0.7
