Type of System,Total Count,Percentage
"incipient, intensification, mature, decay",605,8.94441159077469
intensification,38,0.5617977528089888
"intensification, mature, decay",48,0.7096392667060911
decay,22,0.3252513305736251
"intensification, mature, decay, intensification 2, mature 2, decay 2",34,0.5026611472501479
"incipient, intensification, mature, decay, residual",79,1.1679479597871083
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",65,0.960969840331165
"incipient, decay, intensification, mature, decay 2",50,0.7392075694855115
"decay, intensification, mature, decay 2",32,0.4730928444707274
"decay, intensification",13,0.192193968066233
"decay, intensification, decay 2, intensification 2",4,0.05913660555884093
"incipient, decay, intensification",1,0.014784151389710232
"decay, intensification, decay 2",4,0.05913660555884093
"incipient, decay",5,0.07392075694855116
"intensification, mature, decay, residual",15,0.22176227084565345
"intensification, residual",6,0.08870490833826139
"intensification, decay",1,0.014784151389710232
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",3,0.044352454169130695
"incipient, intensification, decay, intensification 2, mature, decay 2",3,0.044352454169130695
"incipient, intensification, decay, intensification 2",2,0.029568302779420463
"decay, intensification, mature, decay 2, residual",4,0.05913660555884093
"incipient, decay, incipient 2, intensification, mature, decay 2",1,0.014784151389710232
"incipient, intensification, residual",1,0.014784151389710232
"incipient, intensification, decay, intensification 2, decay 2",1,0.014784151389710232
"incipient, decay, intensification, mature, decay 2, residual",1,0.014784151389710232
"incipient, intensification",2,0.029568302779420463
"incipient, intensification, decay, intensification 2, mature, decay 2, residual",2,0.029568302779420463
"incipient, decay, intensification, decay 2, residual",1,0.014784151389710232
"decay, intensification, residual",1,0.014784151389710232
